"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R22";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10k";;;
2;"D1";"D_SOD-323_HandSoldering";1;"D";;;
3;"J7";"PinHeader_1x10_P2.54mm_Vertical";1;"Conn_01x10_Female";;;
4;"R11,R10";"R_0805_2012Metric";2;"10k";;;
5;"JP4,JP3,JP2,JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";4;"Jumper";;;
6;"J6,J3";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03_Female";;;
7;"X2";"Crystal_SMD_HC49-SD_HandSoldering";1;"8MHz";;;
8;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
9;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F103RGTx";;;
10;"SW2";"SMD_BUTTON";1;"Switch_SW_SPST";;;
11;"R23";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1M";;;
12;"R21,R9,R8";"R_0805_2012Metric";3;"4k7";;;
13;"R20,R18";"R_0805_2012Metric";2;"20R";;;
14;"R7";"R_0805_2012Metric";1;"390R";;;
15;"R6,R5,R4,R3,R2,R1";"R_0805_2012Metric";6;"R_Small";;;
16;"P1";"expansion_fx502p";1;"Expansion";;;
17;"J10";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
18;"J9";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
19;"J5,J4";"PinHeader_1x04_P2.54mm_Vertical";2;"Conn_01x04_Male";;;
20;"J2,J1";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Male";;;
21;"C36,C35,C34,C33,C32,C31,C30,C29,C28,C27,C26,C25,C19";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";13;"100nF";;;
22;"C24,C22,C20";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"1uF";;;
23;"C23,C21";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10pF";;;
24;"A1";"SD_Card_Module";1;"SD_Card_Module_catalex";;;
